name,contact,address,email,total_amount
Mark,9823659824,kathmandu,mark@gmail.com,10000
Bob,9815401073,lalitpur,bob@gmail.com,9000
Joseph,91522600,bhaktapur,joshep@gmail.com,11000
Rohit,9867543209,kanpur,rohit@gmail.com,12000
Jane,9741112593,naagpur,jane@gmail.com,7000
Linda,99765432237,lakhanpur,linda@gmail.com,15000
Steve,9834254312,bharatpur,steve@gmail.com,3000
Tom,9814325416,janakpur,tom@gmail.com,6000
Harry,9844441234,kolalampur,harry@gmail.com,12000
Scarlet,9803955181,sanpur,scarlet@gmail.com,11000
Tony,9876543456,badlapur,tony@gmail.com,17000
